gene_id	type	motif_min_rank	min_motif_rank	min_q_val	min_enr_fold	min_pi_value	gene_name	description	ath_gene_id	ath_alias	gene_name_figs	Expressed gene	Gene description_DE	P value_DE	Avg_log2(FC)_DE	pct.1_DE	pct.2_DE	Adjusted P value_DE	Cluster_DE
Zm00001d000120	TG						maize CRY1 homolog2	maize CRY1 homolog2	AT3G52580		maize CRY1 homolog2	True							
Zm00001d000176	TG						CO CO-LIKE TIMING OF CAB1 protein domain2	Zinc finger protein CONSTANS-LIKE 5	AT5G24930	COL4	CO CO-LIKE TIMING OF CAB1 protein domain2 (COL4)	True							
Zm00001d000199	TG						Zm00001d000199	Nicotinamide adenine dinucleotide transporter 1 chloroplastic	AT2G47490	NDT1	Zm00001d000199 (NDT1)	True							
Zm00001d000314	TG						Zm00001d000314	F-box protein	AT5G46170		Zm00001d000314	True							
Zm00001d000316	TG						NADP malic enzyme3	NADP-dependent malic enzyme%2C chloroplastic	AT1G79750	NADP-ME4	NADP malic enzyme3 (NADP-ME4)	True	NADP-dependent malic enzyme%2C chloroplastic  	0.0	2.6878838287809996	0.439	0.081	0.0	BSCs
Zm00001d000399	TG						chloroplast protein synthesis2	chloroplast protein synthesis2	AT2G28000	SLP	chloroplast protein synthesis2 (SLP)	True							
Zm00001d001820	TG						protochlorophyllide reductase1	protochlorophyllide reductase1	AT5G54190	PORA	protochlorophyllide reductase1 (PORA)	True							
Zm00001d001980	TG						Zm00001d001980	Protein kinase-like	AT1G11390		Zm00001d001980	True							
Zm00001d002069	TG						Zm00001d002069	DNA topoisomerase 2			Zm00001d002069	True							
Zm00001d002086	TG						Zm00001d002086	Ubiquitin carboxyl-terminal hydrolase 22	AT5G10790	UBP22	Zm00001d002086 (UBP22)	True							
Zm00001d002163	TG						diacylglycerol kinase3	Diacylglycerol kinase 5	AT2G20900	DGK5	diacylglycerol kinase3 (DGK5)	True	Diacylglycerol kinase 5	0.0	0.42279977742934494	0.302	0.077	1.4e-05	Bundle_sheath
Zm00001d002169	TG						Zm00001d002169	Eukaryotic translation initiation factor 3 subunit C	AT3G56150	TIF3C1	Zm00001d002169 (TIF3C1)	True							
Zm00001d002288	TG						bHLH-transcription factor 148	Protein SPATULA	AT2G20180	PIL5	bHLH-transcription factor 148 (PIL5)	True							
Zm00001d002302	TG						Zm00001d002302	Auxin responsive protein	AT4G02480		Zm00001d002302	True							
Zm00001d002346	TG						cinnamyl alcohol dehydrogenase1	cinnamyl alcohol dehydrogenase1	AT4G37970	CAD6	cinnamyl alcohol dehydrogenase1 (CAD6)	True							
Zm00001d002396	TG						Zm00001d002396	Calcium-transporting ATPase 9 plasma membrane-type	AT5G57110	AT-ACA8	Zm00001d002396 (AT-ACA8)	True							
Zm00001d002415	TG						Zm00001d002415	OSJNBa0041A02.21 protein;  protein			Zm00001d002415	True	OSJNBa0041A02.21 protein;  protein	0.0	0.8728368714733359	0.14800000000000002	0.039	0.0	BSCs
Zm00001d002454	TG						Zm00001d002454	Phosphoribulokinase	AT1G32060	PRK	Zm00001d002454 (PRK)	True							
Zm00001d002542	TG						Zm00001d002542	Probable protein phosphatase 2C 68	AT5G66080	APD9	Zm00001d002542 (APD9)	True							
Zm00001d002550	TG						Zm00001d002550	Pentatricopeptide repeat-containing protein  chloroplastic	AT5G13770		Zm00001d002550	True							
Zm00001d002642	TG						Zm00001d002642	Dof zinc finger protein DOF2.5	AT2G46590	DAG2	Zm00001d002642 (DAG2)	True							
Zm00001d002658	TG						Zm00001d002658	Transducin/WD40 repeat-like superfamily protein	AT4G35560	DAW1	Zm00001d002658 (DAW1)	True							
Zm00001d002690	TG						plasma membrane intrinsic protein1	plasma membrane intrinsic protein1	AT4G23400	PIP1D	plasma membrane intrinsic protein1 (PIP1D)	True							
Zm00001d002700	TG						Zm00001d002700				Zm00001d002700	True							
Zm00001d002822	TG						Zm00001d002822	Elongation factor G chloroplastic	AT1G62750	SCO1	Zm00001d002822 (SCO1)	True	Elongation factor G chloroplastic	0.0	0.451882019010689	0.122	0.04	3.3e-05	BSCs
Zm00001d002868	TG						Zm00001d002868	ferredoxin/thioredoxin reductase subunit A (variable subunit) 2	AT5G23440	FTRA1	Zm00001d002868 (FTRA1)	True							
Zm00001d002871	TG						ABC transporter G family member 11	ABC transporter G family member 11	AT1G17840	WBC11	ABC transporter G family member 11 (WBC11)	True	 ABC transporter G family member 11	0.0	-2.4612510509616	0.27399999999999997	0.759	0.0	BSCs
Zm00001d002934	TG						NAC-transcription factor 103	NAC domain-containing protein 30	AT1G71930	VND7	NAC-transcription factor 103 (VND7)	True							
Zm00001d002992	TG						Zm00001d002992	DUF3755 family protein	AT1G60670		Zm00001d002992	True	DUF3755 family protein	0.0	2.35607981410567	0.265	0.017	0.0	BSCs
Zm00001d003429	TG						glyceraldehyde-3-phosphate dehydrogenase1	Glyceraldehyde-3-phosphate dehydrogenase A%2C chloroplastic	AT1G12900	GAPA-2	glyceraldehyde-3-phosphate dehydrogenase1 (GAPA-2)	True	Glyceraldehyde-3-phosphate dehydrogenase A%2C chloroplastic  	0.0	2.45633544175406	0.435	0.07200000000000001	0.0	BSCs
Zm00001d003459	TG						Zm00001d003459	Protein disulfide-isomerase LQY1 chloroplastic	AT1G75690	LQY1	Zm00001d003459 (LQY1)	True							
Zm00001d003477	TG						cryptochrome2	cryptochrome2	AT4G08920	OOP2	cryptochrome2 (OOP2)	True	 cryptochrome2	0.0	0.633361326392309	0.104	0.015	0.0	BSCs
Zm00001d003632	TG						regulator of chromosome condensation2	regulator of chromosome condensation2	AT5G63860	UVR8	regulator of chromosome condensation2 (UVR8)	True							
Zm00001d003791	TG						Zm00001d003791	Pentatricopeptide repeat-containing protein	AT4G13650		Zm00001d003791	True							
Zm00001d003897	TG						barren stalk2	RING finger protein	AT5G13250		barren stalk2	True							
Zm00001d003905	TG						Zm00001d003905				Zm00001d003905	True							
Zm00001d003925	TG						Zm00001d003925	Serine/threonine-protein kinase PBS1	AT5G13160	PBS1	Zm00001d003925 (PBS1)	True							
Zm00001d003927	TG						Zm00001d003927	Grx_C8-glutaredoxin subgroup III	AT3G02000	ROXY1	Zm00001d003927 (ROXY1)	True							
Zm00001d003958	TG						CAMTA-transcription factor 1	Calmodulin-binding transcription activator 4	AT1G67310		CAMTA-transcription factor 1	True							
Zm00001d004172	TG						Zm00001d004172	Putative translation elongation/initiation factor family protein	AT1G18070		Zm00001d004172	True							
Zm00001d004193	TG						Zm00001d004193	Probable carbohydrate esterase	AT4G34215		Zm00001d004193	True							
Zm00001d004343	TG						Zm00001d004343				Zm00001d004343	True							
Zm00001d004396	TG						Zm00001d004396	Vacuolar protein sorting-associated protein 54 chloroplastic	AT4G19490	VPS54	Zm00001d004396 (VPS54)	True							
Zm00001d004564	TG						aconitase8	Aconitate hydratase 3 mitochondrial	AT2G05710	ACO3	aconitase8 (ACO3)	True	Aconitate hydratase 3 mitochondrial	0.0	0.2725210207521371	0.396	0.136	0.0005634393213556299	Bundle_sheath
Zm00001d004677	TG						Zm00001d004677	Eukaryotic initiation factor 5C CG2922-PF%2C isoform F	AT5G36230		Zm00001d004677	True							
Zm00001d004702	TG						Zm00001d004702	Signal peptide peptidase-like 3	AT2G43070	SPPL3	Zm00001d004702 (SPPL3)	True	Signal peptide peptidase-like 3	0.0	0.882326263443557	0.526	0.292	0.0	BSCs
Zm00001d004785	TG						Zm00001d004785	Protein TPLATE	AT3G01780	TPLATE	Zm00001d004785 (TPLATE)	True							
Zm00001d004894	TG						ribulose bisphosphate carboxylase small subunit2	ribulose bisphosphate carboxylase small subunit2	AT1G67090	RBCS1A	ribulose bisphosphate carboxylase small subunit2 (RBCS1A)	True	 ribulose bisphosphate carboxylase small subunit2	0.0	1.91529608079664	0.23	0.006	0.0	BSCs
Zm00001d004910	TG						Zm00001d004910				Zm00001d004910	True							
Zm00001d004978	TG						Zm00001d004978	Saccharopine dehydrogenase	AT1G50450		Zm00001d004978	True							
Zm00001d004992	TG						Zm00001d004992	Probable inactive dual specificity protein phosphatase-like	AT4G18593		Zm00001d004992	True							
Zm00001d005135	TG						protein kinase homolog4	protein kinase homolog4	AT5G47750	PK5	protein kinase homolog4 (PK5)	True							
Zm00001d005159	TG						spermidine synthase1	Spermidine synthase 2	AT1G70310	SPDS2	spermidine synthase1 (SPDS2)	True							
Zm00001d005256	TG						sulfate transporter7	Sulfate transporter 4.1 chloroplastic	AT5G13550	SULTR4;1	sulfate transporter7 (SULTR4;1)	True							
Zm00001d005532	TG						Zm00001d005532	Ubiquitin-conjugating enzyme E2-17 kDa	AT1G64230	UBC28	Zm00001d005532 (UBC28)	True							
Zm00001d005791	TG						Zm00001d005791	Histone H4	AT3G45930		Zm00001d005791	True							
Zm00001d005866	TG						protein disulfide isomerase13	Protein disulfide-isomerase like 2-2	AT1G04980	PDIL2-2	protein disulfide isomerase13 (PDIL2-2)	True							
Zm00001d005996	TG						Zm00001d005996	Photosystem I reaction center subunit V	AT1G55670	PSAG	Zm00001d005996 (PSAG)	True	Photosystem I reaction center subunit V  	0.0	0.762951555999947	0.11699999999999999	0.019	0.0	BSCs
Zm00001d006098	TG						Zm00001d006098	Cyclopropane fatty acid synthase	AT3G23530		Zm00001d006098	True							
Zm00001d006160	TG						Zm00001d006160	DEAD-box ATP-dependent RNA helicase 7	AT5G62190	PRH75	Zm00001d006160 (PRH75)	True							
Zm00001d006176	TG						Zm00001d006176	Plant UBX domain-containing protein 8	AT4G11740	SAY1	Zm00001d006176 (SAY1)	True							
Zm00001d006180	TG						Zm00001d006180	NC domain-containing protein-related	AT1G01225		Zm00001d006180	True							
Zm00001d006183	TG						Zm00001d006183	Vacuolar protein sorting-associated protein 22 homolog 1	AT4G27040	VPS22	Zm00001d006183 (VPS22)	True							
Zm00001d006212	TG						pseudo-response regulator homolog1	Two-component response regulator-like APRR9	AT5G24470	PRR5	pseudo-response regulator homolog1 (PRR5)	True							
Zm00001d006342	TG						molybdenum cofactor sulfurase2	Mo-molybdopterin cofactor sulfurase	AT1G30910		molybdenum cofactor sulfurase2	True							
Zm00001d006348	TG						GRF-transcription factor 2	growth-regulating factor 9	AT4G37740	GRF2	GRF-transcription factor 2 (GRF2)	True							
Zm00001d006353	TG						Zm00001d006353	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	AT3G20640		Zm00001d006353	True							
Zm00001d006430	TG						Zm00001d006430	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	AT3G12940		Zm00001d006430	True							
Zm00001d006553	TG						Zm00001d006553	BTB/POZ domain-containing protein	AT3G22104		Zm00001d006553	True							
Zm00001d006565	TG						vacuolar proton pump10	male sterile32	AT3G42050		vacuolar proton pump10	True							
Zm00001d006651	TG						alpha tubulin5	Tubulin alpha-5 chain	AT5G19780	TUA5	alpha tubulin5 (TUA5)	True							
Zm00001d006663	TG						light harvesting complex A1	light harvesting complex A1	AT3G61470	LHCA2	light harvesting complex A1 (LHCA2)	True	 light harvesting complex A1	0.0	1.7129126109112298	0.243	0.05	0.0	BSCs
Zm00001d006673	TG						Zm00001d006673	Major facilitator superfamily protein	AT2G44280		Zm00001d006673	True	Major facilitator superfamily protein	0.0	0.59097154589227	0.152	0.035	0.0	BSCs
Zm00001d006726	TG						Zm00001d006726	ARM repeat superfamily protein	AT3G01400		Zm00001d006726	True							
Zm00001d006834	TG						Zm00001d006834		AT3G32930		Zm00001d006834	True							
Zm00001d006836	TG						Zm00001d006836	alpha/beta-Hydrolases superfamily protein	AT5G20520	WAV2	Zm00001d006836 (WAV2)	True							
Zm00001d006853	TG						Zm00001d006853	Protein STRICTOSIDINE SYNTHASE-LIKE 6	AT3G59530	LAP3	Zm00001d006853 (LAP3)	True							
Zm00001d007102	TG						Zm00001d007102	RNA-binding protein	AT3G47160		Zm00001d007102	True							
Zm00001d007288	TG						Zm00001d007288	Acetolactate synthase small subunit 1 chloroplastic	AT2G31810		Zm00001d007288	True							
Zm00001d007316	TG						Zm00001d007316	Oligosaccharyltransferase complex/magnesium transporter family protein	AT4G29870		Zm00001d007316	True							
Zm00001d007339	TG						Zm00001d007339	Zinc finger protein 511	AT5G14140		Zm00001d007339	True	Zinc finger protein 511  	0.0	0.270742983656156	0.377	0.098	0.0	Bundle_sheath
Zm00001d007345	TG						Zm00001d007345	11-beta-hydroxysteroid dehydrogenase-like 5	AT5G50700	HSD1	Zm00001d007345 (HSD1)	True							
Zm00001d007585	TG						Zm00001d007585	Centromere/kinetochore protein zw10 homolog	AT2G32900	ATZW10	Zm00001d007585 (ATZW10)	True							
Zm00001d007692	TG						Zm00001d007692	Auxilin-related protein 1	AT4G12770		Zm00001d007692	True							
Zm00001d007716	TG						Zm00001d007716	Galactolipid galactosyltransferase SFR2 chloroplastic	AT3G06510	SFR2	Zm00001d007716 (SFR2)	True							
Zm00001d007754	TG						Zm00001d007754	mitochondrial 28S ribosomal protein S29-related	AT1G16870		Zm00001d007754	True							
Zm00001d007757	TG						Zm00001d007757	DEAD-box ATP-dependent RNA helicase 52	AT2G42520		Zm00001d007757	True							
Zm00001d007778	TG						Zm00001d007778				Zm00001d007778	True							
Zm00001d007783	TG						Zm00001d007783	P-loop containing nucleoside triphosphate hydrolases superfamily protein	AT3G10420	SPD1	Zm00001d007783 (SPD1)	True	P-loop containing nucleoside triphosphate hydrolases superfamily protein	0.0	0.6163208725763771	0.35200000000000004	0.203	0.0005009999999999999	BSCs
Zm00001d008278	TG						Zm00001d008278	Calmodulin-7	AT5G37780	TCH1	Zm00001d008278 (TCH1)	True							
Zm00001d008440	TG						Zm00001d008440	Putative peptidyl-prolyl cis-trans isomerase family protein	AT1G74070		Zm00001d008440	True							
Zm00001d008540	TG						Zm00001d008540		AT3G25870		Zm00001d008540	True							
Zm00001d008706	TG						Zm00001d008706	Photosystem I reaction center subunit XI chloroplastic	AT4G12800	PSAL	Zm00001d008706 (PSAL)	True	Photosystem I reaction center subunit XI chloroplastic	0.0	1.30598521422918	0.278	0.053	0.0	BSCs
Zm00001d008789	TG						Zm00001d008789		AT5G11700		Zm00001d008789	True							
Zm00001d008791	TG						Zm00001d008791	Putative AGC protein kinase family protein	AT4G33080		Zm00001d008791	True							
Zm00001d008805	TG						Zm00001d008805		AT5G56750	NDL1	Zm00001d008805 (NDL1)	True							
Zm00001d008839	TG						Zm00001d008839	Ribosomal protein L18ae family	AT1G54217		Zm00001d008839	True							
Zm00001d009446	TG						Zm00001d009446	VIP1 protein			Zm00001d009446	True							
Zm00001d009661	TG						Zm00001d009661		AT3G27930		Zm00001d009661	True							
Zm00001d009837	TG						red and far red insensitive2	RING/U-box superfamily protein	AT3G05545		red and far red insensitive2	True							
Zm00001d009883	TG						Zm00001d009883	40S ribosomal protein S4-3			Zm00001d009883	True							
Zm00001d009907	TG						Zm00001d009907	alpha/beta-Hydrolases superfamily protein	AT2G47630		Zm00001d009907	True	alpha/beta-Hydrolases superfamily protein	0.0	2.35554943571903	0.478	0.023	0.0	BSCs
Zm00001d009952	TG						Zm00001d009952	Leucine-rich repeat extensin-like protein 3	AT4G13340	LRX3	Zm00001d009952 (LRX3)	True							
Zm00001d009954	TG						Zm00001d009954				Zm00001d009954	True							
Zm00001d009997	TG						Zm00001d009997	Probable beta-13-galactosyltransferase 12	AT2G26100		Zm00001d009997	True							
Zm00001d010113	TG						Zm00001d010113		AT2G19620	NDL3	Zm00001d010113 (NDL3)	True							
Zm00001d010244	TG						Zm00001d010244				Zm00001d010244	True							
Zm00001d010366	TG						IQ-domain 19	IQ-domain 25	AT3G16490	IQD26	IQ-domain 19 (IQD26)	True							
Zm00001d010434	TG						Zm00001d010434	Arabinogalactan peptide 20	AT2G46330	ATAGP16	Zm00001d010434 (ATAGP16)	True							
Zm00001d010493	TG						Zm00001d010493	F-box domain containing protein	AT4G15563		Zm00001d010493	True							
Zm00001d010535	TG						monofunctional riboflavin biosynthesis proteinA3	Riboflavin biosynthesis protein ribAB	AT5G64300	RIBA1	monofunctional riboflavin biosynthesis proteinA3 (RIBA1)	True	Riboflavin biosynthesis protein ribAB  	0.0	1.37938231381497	0.226	0.005	0.0	BSCs
Zm00001d010621	TG						Zm00001d010621				Zm00001d010621	True							
Zm00001d010627	TG						Zm00001d010627	Protein LURP-one-related 8	AT2G38640		Zm00001d010627	True							
Zm00001d010690	TG						Zm00001d010690	Anthocyanidin 3-O-glucosyltransferase			Zm00001d010690	True							
Zm00001d010715	TG						Zm00001d010715	Photosystem II reaction center W protein chloroplastic	AT2G30570	PSBW	Zm00001d010715 (PSBW)	True							
Zm00001d010799	TG						Zm00001d010799		AT2G21385		Zm00001d010799	True							
Zm00001d010803	TG						Zm00001d010803	50S ribosomal protein L20	AT1G16740		Zm00001d010803	True							
Zm00001d010806	TG						Zm00001d010806	Protein LIKE COV 1	AT2G20120	COV1	Zm00001d010806 (COV1)	True							
Zm00001d010838	TG						zinc-regulated, iron-regulated transporter-like protein6	Zinc transporter 6 chloroplastic	AT2G30080	ZIP6	zinc-regulated, iron-regulated transporter-like protein6 (ZIP6)	True							
Zm00001d011274	TG						Zm00001d011274	Metal ion binding protein	AT3G24450		Zm00001d011274	True							
Zm00001d011448	TG						Zm00001d011448	Rubisco methyltransferase family protein	AT5G14260		Zm00001d011448	True							
Zm00001d011450	TG						Zm00001d011450	Putative prolin-rich extensin-like receptor protein kinase family protein	AT1G23540	PERK12	Zm00001d011450 (PERK12)	True							
Zm00001d011454	TG						carbonic anhydrase6	carbonic anhydrase6	AT1G70410	CA4	carbonic anhydrase6 (CA4)	True							
Zm00001d011601	TG						Zm00001d011601		AT1G04010	PSAT1	Zm00001d011601 (PSAT1)	True							
Zm00001d011611	TG						clumped tassel1	Katanin p60 ATPase-containing subunit A1	AT1G80350	LUE1	clumped tassel1 (LUE1)	True							
Zm00001d011624	TG						Zm00001d011624	alpha/beta-Hydrolases superfamily protein	AT5G38220		Zm00001d011624	True	alpha/beta-Hydrolases superfamily protein	0.0	0.462252896780453	0.604	0.126	0.0	Bundle_sheath
Zm00001d011716	TG						Zm00001d011716	Protein PLASTID MOVEMENT IMPAIRED 1-RELATED 1	AT5G20610		Zm00001d011716	True							
Zm00001d011731	TG						Zm00001d011731	Metal ion binding protein	AT3G24450		Zm00001d011731	True							
Zm00001d011775	TG						Zm00001d011775	Protein TRIGALACTOSYLDIACYLGLYCEROL 2 chloroplastic	AT3G20320	TGD2	Zm00001d011775 (TGD2)	True							
Zm00001d011776	TG						Zm00001d011776		AT3G12590		Zm00001d011776	True							
Zm00001d011891	TG						Zm00001d011891	S-formylglutathione hydrolase	AT2G41530	SFGH	Zm00001d011891 (SFGH)	True							
Zm00001d011898	TG						Zm00001d011898	zinc finger (C3HC4-type RING finger) family protein	AT3G56590		Zm00001d011898	True							
Zm00001d011908	TG						Zm00001d011908	Protein kinase superfamily protein	AT5G18610		Zm00001d011908	True							
Zm00001d011932	TG						Zm00001d011932	Putative cytochrome P450 superfamily protein	AT1G64950	CYP89A5	Zm00001d011932 (CYP89A5)	True							
Zm00001d011993	TG						Zm00001d011993	50S ribosomal protein L27 chloroplastic	AT5G40950	RPL27	Zm00001d011993 (RPL27)	True							
Zm00001d011994	TG						Zm00001d011994	F-box only protein 6	AT1G27340	LCR	Zm00001d011994 (LCR)	True							
Zm00001d012060	TG						Zm00001d012060	WW domain-containing protein	AT2G41020		Zm00001d012060	True							
Zm00001d012168	TG						Zm00001d012168	Membrane-associated protein VIPP1 chloroplastic	AT1G65260	VIPP1	Zm00001d012168 (VIPP1)	True							
Zm00001d012197	TG						diphosphocytidyl methyl erythritol synthase2	diphosphocytidyl methyl erythritol synthase2	AT2G02500	MCT	diphosphocytidyl methyl erythritol synthase2 (MCT)	True							
Zm00001d012203	TG						Zm00001d012203	Electron transporter	AT1G33780		Zm00001d012203	True							
Zm00001d012290	TG						Zm00001d012290	hemerythrin HHE cation-binding domain protein	AT3G54290		Zm00001d012290	True							
Zm00001d012398	TG						Zm00001d012398	Putative regulator of chromosome condensation (RCC1) family protein	AT3G55580		Zm00001d012398	True	Putative regulator of chromosome condensation (RCC1) family protein  	0.0	0.547716817756355	0.139	0.058	0.007726	BSCs
Zm00001d012433	TG						Zm00001d012433	UDP-glucuronic acid decarboxylase 1	AT3G53520	UXS1	Zm00001d012433 (UXS1)	True							
Zm00001d012488	TG						Zm00001d012488	Major facilitator superfamily protein	AT2G30300		Zm00001d012488	True							
Zm00001d012596	TG						Zm00001d012596		AT5G54870		Zm00001d012596	True							
Zm00001d012662	TG						Zm00001d012662		AT5G64510	TIN1	Zm00001d012662 (TIN1)	True							
Zm00001d012679	TG						Zm00001d012679		AT5G08060		Zm00001d012679	True							
Zm00001d012700	TG						Zm00001d012700		AT1G29195		Zm00001d012700	True							
Zm00001d012701	TG						Zm00001d012701	Phosphatidate cytidylyltransferase	AT4G22340	CDS2	Zm00001d012701 (CDS2)	True							
Zm00001d012763	TG						kinesin-related protein16	kinesin-related protein16	AT1G63640		kinesin-related protein16	True							
Zm00001d012922	TG						RNA helicase3	RNA helicase3	AT5G26742	RH3	RNA helicase3 (RH3)	True							
Zm00001d012979	TG						Alfin-like-transcription factor 17	Pentatricopeptide repeat-containing protein  mitochondrial	AT3G11200	AL2	Alfin-like-transcription factor 17 (AL2)	True							
Zm00001d012980	TG						Zm00001d012980	NAD(P)-binding Rossmann-fold superfamily protein	AT5G58490		Zm00001d012980	True							
Zm00001d012981	TG						Zm00001d012981	NAD(P)-binding Rossmann-fold superfamily protein	AT5G58490		Zm00001d012981	True							
Zm00001d012982	TG						Zm00001d012982	NAD(P)-binding Rossmann-fold superfamily protein	AT5G58490		Zm00001d012982	True	NAD(P)-binding Rossmann-fold superfamily protein	0.0	0.6782283159519321	0.9059999999999999	0.451	0.0	Bundle_sheath
Zm00001d013039	TG						photosystem I subunit d1	photosystem I subunit d1	AT4G02770	PSAD-1	photosystem I subunit d1 (PSAD-1)	True							
Zm00001d013045	TG						Zm00001d013045	Brain protein 44-like protein	AT5G20090		Zm00001d013045	True							
Zm00001d013118	TG						Zm00001d013118	Drought and salt tolerance protein; Expressed protein	AT5G48890	LATE	Zm00001d013118 (LATE)	True							
Zm00001d013135	TG						Zm00001d013135	Ribose-5-phosphate isomerase	AT5G44520		Zm00001d013135	True	Ribose-5-phosphate isomerase  	0.0	0.615222905016925	0.11699999999999999	0.035	1e-06	BSCs
Zm00001d013146	TG						Zm00001d013146	Photosystem I reaction center subunit III chloroplastic	AT1G31330	PSAF	Zm00001d013146 (PSAF)	True							
Zm00001d013155	TG						Zm00001d013155				Zm00001d013155	True							
Zm00001d013252	TG						mouse transplantation antigen homolog2	60S ribosomal protein L13a-1	AT5G48760		mouse transplantation antigen homolog2	True							
Zm00001d013287	TG						Zm00001d013287				Zm00001d013287	True	nan	0.0	0.363631729907844	0.34	0.03	0.0	Bundle_sheath
Zm00001d013402	TG						phytochromeA2	phytochromeA2	AT1G09570	PHYA	phytochromeA2 (PHYA)	True							
Zm00001d013415	TG						Zm00001d013415	Receptor-like kinase TMK2	AT1G66150	TMK1	Zm00001d013415 (TMK1)	True							
Zm00001d013443	TG						C2C2-CO-like-transcription factor 8	CCT motif family protein	AT1G25440	BBX15	C2C2-CO-like-transcription factor 8 (BBX15)	True	CCT motif family protein  	0.0	0.8081425714103229	0.17800000000000002	0.023	0.0	BSCs
Zm00001d013470	TG						Zm00001d013470	Oxysterol-binding protein-related protein 1C	AT4G08180	ORP1C	Zm00001d013470 (ORP1C)	True							
Zm00001d013534	TG						pale and small1	2Fe-2S ferredoxin-like superfamily protein	AT1G32550	FdC2	pale and small1 (FdC2)	True	2Fe-2S ferredoxin-like superfamily protein	0.0	0.845892878238592	0.287	0.087	0.0	BSCs
Zm00001d013542	TG						argonaute108	argonaute108	AT1G48410	ICU9	argonaute108 (ICU9)	True							
Zm00001d013553	TG						Zm00001d013553				Zm00001d013553	True							
Zm00001d013615	TG						Zm00001d013615	Expressed protein;  protein	AT1G16500		Zm00001d013615	True							
Zm00001d013620	TG						Zm00001d013620		AT1G60995		Zm00001d013620	True							
Zm00001d013651	TG						Zm00001d013651	Chlorophyll(ide) b reductase NOL chloroplastic	AT5G04900	NOL	Zm00001d013651 (NOL)	True							
Zm00001d013743	TG						Zm00001d013743	Zinc finger protein 1	AT5G25160	ZFP3	Zm00001d013743 (ZFP3)	True							
Zm00001d013984	TG						Zm00001d013984	Protein EXECUTER 1 chloroplastic	AT4G33630	EX1	Zm00001d013984 (EX1)	True							
Zm00001d014037	TG						Zm00001d014037	Serine/threonine protein phosphatase 2A regulatory subunit B''alpha	AT1G54450		Zm00001d014037	True							
Zm00001d014157	TG						Zm00001d014157	Flavoprotein wrbA	AT4G36750		Zm00001d014157	True							
Zm00001d014183	TG						prolyl 4-hydroxylase 7	Probable prolyl 4-hydroxylase 12	AT3G28480		prolyl 4-hydroxylase 7	True							
Zm00001d014196	TG						Zm00001d014196	ARM repeat superfamily protein	AT1G14300		Zm00001d014196	True							
Zm00001d014204	TG						Zm00001d014204	Oxidoreductase	AT4G09670		Zm00001d014204	True							
Zm00001d014275	TG						Zm00001d014275		AT5G66810		Zm00001d014275	True							
Zm00001d014294	TG						Zm00001d014294	Acetyl-CoA carboxylase 1	AT1G36160	SFR3	Zm00001d014294 (SFR3)	True	Acetyl-CoA carboxylase 1	0.0	-2.5636037893022205	0.248	0.51	0.0	BSCs
Zm00001d014297	TG						histidine kinase3	histidine kinase3	AT5G35750	HK2	histidine kinase3 (HK2)	True	 histidine kinase3	0.0	0.7924394758476259	0.29100000000000004	0.112	0.0	BSCs
Zm00001d014365	TG						Zm00001d014365				Zm00001d014365	True							
Zm00001d014596	TG						Zm00001d014596	Alpha-L-fucosidase 2	AT1G28590		Zm00001d014596	True							
Zm00001d014715	TG						Zm00001d014715	Delta-aminolevulinic acid dehydratase 1 chloroplastic	AT1G69740	HEMB1	Zm00001d014715 (HEMB1)	True							
Zm00001d014719	TG						Zm00001d014719	Putative pentatricopeptide repeat-containing protein	AT3G10250		Zm00001d014719	True							
Zm00001d014753	TG						Zm00001d014753		AT2G16860		Zm00001d014753	True							
Zm00001d015116	TG						Zm00001d015116		AT4G17960		Zm00001d015116	True							
Zm00001d015156	TG						Zm00001d015156	Pentatricopeptide repeat-containing protein  mitochondrial	AT4G21880		Zm00001d015156	True							
Zm00001d015248	TG						Zm00001d015248	Splicing factor 3B subunit 1	AT5G64270		Zm00001d015248	True							
Zm00001d015268	TG						Zm00001d015268	Protein CHLOROPLAST IMPORT APPARATUS 2	AT4G25990	CIL	Zm00001d015268 (CIL)	True							
Zm00001d015445	TG						Zm00001d015445	Gamma-aminobutyrate transaminase POP2 mitochondrial			Zm00001d015445	True							
Zm00001d015570	TG						Zm00001d015570	Sucrose-phosphate synthase 1	AT5G20280	SPSA1	Zm00001d015570 (SPSA1)	True	Sucrose-phosphate synthase 1	0.0	0.9502484153222959	0.457	0.24100000000000002	0.0	BSCs
Zm00001d015618	TG						brown midrib1	Probable cinnamyl alcohol dehydrogenase	AT3G19450	CAD4	brown midrib1 (CAD4)	True	Probable cinnamyl alcohol dehydrogenase  	0.0	1.24630613289427	0.157	0.005	0.0	BSCs
Zm00001d015628	TG						Zm00001d015628	Ribosome-like protein	AT3G27160	GHS1	Zm00001d015628 (GHS1)	True							
Zm00001d015661	TG						Zm00001d015661	Auxin-responsive protein SAUR61	AT1G20470	SAUR60	Zm00001d015661 (SAUR60)	True							
Zm00001d015705	TG						Zm00001d015705		AT3G15110		Zm00001d015705	True							
Zm00001d015818	TG						Zm00001d015818	Phospholipase D gamma 1	AT2G42010	PLDBETA1	Zm00001d015818 (PLDBETA1)	True							
Zm00001d015917	TG						Zm00001d015917	Nucleic acid-binding OB-fold-like protein	AT5G35680		Zm00001d015917	True							
